Name,Age,Occupation,Hometown,Height,ElimWeek,Season
Dean,In,Date,Last,Runner-up,Unknown,Bachelor Winter Games
Lesley,In,Date,Last,Unknown,Unknown,Bachelor Winter Games
Luke,Date,Date,In,Runner-up,Unknown,Bachelor Winter Games
Stassi,In,Date,In,Unknown,Unknown,Bachelor Winter Games
Bibiana,Date,In,In,Split,Unknown,Bachelor Winter Games
Jordan,N/A[a],In,In,Split,Unknown,Bachelor Winter Games
Ally,In,In,Out,,Unknown,Bachelor Winter Games
Josiah,Last,In,Out,Unknown,Unknown,Bachelor Winter Games
Christian,In,In,Split,Unknown,Unknown,Bachelor Winter Games
Clare,In,Last,Split,Unknown,Unknown,Bachelor Winter Games
Yuki,In,In,Out,Unknown,Unknown,Bachelor Winter Games
Michael,In,In,Quit,Unknown,Unknown,Bachelor Winter Games
Ben,In,In,Quit,Unknown,Unknown,Bachelor Winter Games
Tiffany,In,In,Quit,Unknown,Unknown,Bachelor Winter Games
Jenny,In,Out,,Unknown,Unknown,Bachelor Winter Games
Rebecca,Date,Out,Unknown,Unknown,Unknown,Bachelor Winter Games
Benoit,In,Quit,Unknown,Unknown,Unknown,Bachelor Winter Games
Eric,Out,,Unknown,Unknown,Unknown,Bachelor Winter Games
Jamey,Out,Unknown,Unknown,Unknown,Unknown,Bachelor Winter Games
Laura,Out,Unknown,Unknown,Unknown,Unknown,Bachelor Winter Games
Lauren,Out,Unknown,Unknown,Unknown,Unknown,Bachelor Winter Games
Zoe,Out,Unknown,Unknown,Unknown,Unknown,Bachelor Winter Games
"""Episode 1""","February 13, 2018",Tuesday 8:00 p.m.,0.8/3,3.01[4],Unknown,Bachelor Winter Games
"""Episode 2""","February 15, 2018",Thursday 8:00 p.m.,0.7/3,3.02[5],Unknown,Bachelor Winter Games
"""Episode 3""","February 20, 2018",Tuesday 8:00 p.m.,0.9/3,3.26[6],Unknown,Bachelor Winter Games
"""Episode 4""","February 22, 2018",Thursday 8:00 p.m.,0.8/3,3.19[7],Unknown,Bachelor Winter Games
"""Episode 5""","February 22, 2018",Thursday 10:00 p.m.,0.6/2,2.68[7],Unknown,Bachelor Winter Games
Marcus Grodd,25,Sports Medicine Manager,"Dallas, Texas",The Bachelorette – Andi,Week 1,Engaged
Lacy Faddoul,26,Nursing Home Owner,"La Jolla, California",The Bachelor – Juan Pablo,Week 1,Unknown
Cody Sattler,28,Personal Trainer,"Chicago, Illinois",The Bachelorette – Andi,Week 4,Relationship
Michelle Money,33,Hairstylist,"Salt Lake City, Utah",The Bachelor – BradBachelor Pad – Season 2,Week 1,Unknown
Robert Graham,31,Advertising Entrepreneur,"Los Angeles, California",The Bachelorette – Desiree,Week 1,Split Week 7
Sarah Herron,27,Art Director,"Marina del Rey, California",The Bachelor – Sean,Week 1,Unknown
Zack Kalter,29,Book Publisher,"Los Angeles, California",The Bachelorette – Desiree,Week 2,Split Week 7
Jackie Parr,26,Cosmetics Consultant,"Boca Raton, Florida",The Bachelor – Sean,Week 3,Unknown
Tasos Hernandez,30,Wedding Event Coordinator,"Denver, Colorado",The Bachelorette – Andi,Week 6,Split Week 7
Christy Hansen,25,Hairstylist,"Chicago, Illinois",The Bachelor – Juan Pablo,Week 5,Unknown
Graham Bunn,35,Entrepreneur,"New York City, New York",The Bachelorette – DeAnnaBachelor Pad – Season 2,Week 1,Split Week 7
AshLee Frazier,33,Personal Organizer,"Houston, Texas",The Bachelor – Sean,Week 1,Unknown
Brooks Forester,29,Entrepreneur,"Salt Lake City, Utah",The Bachelorette – Desiree,Week 6,Week 6
Jesse Kovacs,32,Winemaker,"San Diego, California",The Bachelorette – JillianBachelor Pad – Season 1,Week 4,Week 6 (Quit)
Lucy Aragon,25,Free Spirit,"Santa Barbara, California",The Bachelor – Juan Pablo,Week 5,Week 5
Clare Crawley,33,Hairstylist,"Sacramento, California",The Bachelor – Juan Pablo,Week 1,Week 5 (Quit)
Kalon McMahon,29,Entrepreneur,"Houston, Texas",The Bachelorette – EmilyBachelor Pad – Season 3,Week 4,Week 4
Marquel Martin,27,Sponsorship Salesman,"Las Vegas, Nevada",The Bachelorette – Andi,Week 1,Week 4
Danielle Ronco,26,Psychiatric Nurse,"St. Louis, Missouri",The Bachelor – Juan Pablo,Week 3,Week 3
Elise Mosca,28,Bartender,"Los Angeles, California",The Bachelor – Juan Pablo,Week 1,Week 3 (Quit)
Chris Bukowski,27,Entrepreneur,"Washington, D.C.",The Bachelorette – EmilyBachelor Pad – Season 3,Week 2,Week 3 (Quit)
Dylan Petitt,26,Accountant,"Boston, Massachusetts",The Bachelorette – Andi,Week 1,Week 2
Ben Scott,30,Sales Representative,"Dallas, Texas",The Bachelorette – Desiree,Week 1,Week 2 (Quit)
Daniella McBride,26,Commercial Casting Associate,"San Francisco, California",The Bachelor – Sean,Week 1,Week 1
Michelle Kujawa,30,Sales,"Anaheim, California",The Bachelor – JakeBachelor Pad – Season 1,Week 1,Week 1 (Quit)
1-4,Marcus,Date,Date,In,Date,In
Lacy,Date,Date,In,Date,In,Date
Cody,Wait,In,Date,In,In,Relationship
Michelle M.,Date,In,Last,In,Date,In
5-6,Robert,Date,Last,In,Date,Date
Sarah,Last,Date,In,Date,Date,In
7-12,Zack,Wait,Date,In,In,In
Jackie,Wait,Date,Date,In,Date,Split
Tasos,Wait,Date,Split,,Unknown,Unknown
Christy,Wait,Last,Date,Split,,Unknown
Graham,In,In,Date,In,Date,In
AshLee,In,In,Date,In,Date,In
13,Brooks,Wait,Out,,Unknown,Unknown
14,Jesse,Wait,Last,Date,Quit,
15,Lucy,Wait,Out,,Unknown,Unknown
16,Clare,Date,Date,In,In,Quit
17-18,Kalon,Wait,Out,,Unknown,Unknown
Marquel,Date,In,Date,Out,,Unknown
19,Danielle,Wait,Out,,Unknown,Unknown
20-21,Elise,In,In,Quit,,Unknown
Chris,Wait,Date,Quit,,Unknown,Unknown
22,Dylan,In,Out,,Unknown,Unknown
23,Ben,In,Quit,,Unknown,Unknown
24,Daniella,Out,,Unknown,Unknown,Unknown
25,Michelle K.,Quit,,Unknown,Unknown,Unknown
1,"""Week 1: Series Premiere""","August 4, 2014 (2014-08-04)",101,5.31[11],1.4/5[11],Unknown
"Arrival Order: Clare, Marcus, Sarah, Marquel, Daniella, Graham, Lacy, Ben, Michelle K., Robert, Dylan, Elise and AshLee.
Chris Harrison asked everyone if they were single and Michelle K. said ""maybe"". Throughout the first day, Lacy went into the ocean with Robert and Marcus in an 8-hour span. She went into the ocean while Marcus went in there by himself feeling rejected over bachelorette Andi Dorfman.
Clare's date: Clare initially wanted to take Graham on the date, but AshLee ""claimed"" Graham at the start, which made Clare go on a date with Robert. Clare and Robert went to the ruins; while climbing the ruins, Robert got attacked by fire ants.
Sarah's date: Sarah took Marcus on a date and went cliff diving. During the date, Michelle Money joined the cast in Mexico.
Michelle M.'s date: Michelle M. arrived with a date card and took Marquel, they went horseback riding on a beach in Playa del Carmen.
Lacy's date: Lacy took Robert on a date and they had dinner on a beach.

Rose ceremony: The rose ceremony came after a cocktail party. Before the first rose was handed out Michelle K. stepped out and left because she never had any feelings for a guy. In order Marquel gave his rose to Michelle M., Graham gave his rose to AshLee, Dylan gave his rose to Elise, Marcus gave his rose to Lacy which upset Robert who then gave his rose to Clare, Ben had the final rose which he gave to Sarah over Daniella eliminating her.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,"""Week 2""","August 11, 2014 (2014-08-11)",102,5.31[11],1.5/5[11],Unknown
"Chris's Date: Chris showed up with a date card and he took Clare to Papaya Playa on a trip to a spa. During the date Dylan tells Elise to talk to other men in paradise.
Marcus's Date: Marcus took Lacy on a date and they had dinner in Zcaret. During the date Elise did what Dylan requested which was hooking up with Chris in the ocean, they had a conversation about this the next day and Dylan told Elise if she offered him a rose, he would reject it.
Zack's Date: Zack showed up with a date card and took Clare to the city to explore, then went swimming in the ocean.
Dylan's Date: Dylan took Sarah on a date and had dinner.
Before the Rose Ceremony, Marcus and Marquel confronted Ben upon finding a love letter in his backpack from a girl back home. Ben admitted to being in love with her, upsetting everyone especially Michelle, and decided to go home.

Rose Ceremony Lacy gives her rose to Marcus, Ashlee gives hers to Graham, Clare to Zack, Michelle to Marquel, Elise gives hers to Dylan but he declines, so she gives it to Chris instead, Sarah gives her rose to Robert over Dylan, eliminating him.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,"""Week 3""","August 18, 2014 (2014-08-18)",103,5.06[11],1.3/4[11],Unknown
"Elise's Date: Elise asked Chris out. Before the date began, Chris sprained his knee. He decided to go through with the date, despite being in great pain. Immediately after the date he went to the hospital for treatment.
Danielle: Danielle showed up at the bachelor house with a date. She asked Marquel to go on the date and they went swimming.
At the house, Michelle and Clare decided to take Zack and Robert on a mini double date. Sarah was pretty upset about this.
Jackie: Jackie showed up with a date card. She decided to take Marquel as well for his second date this week. Danielle and Michelle were a little upset about this. They went the Campeche Mexico and explored. They shared a kiss after Marquel and Jackie both said they don't usually kiss on the first date.
Sarah and the others expressed their concern to Elise about being careful with Chris and not getting too serious too fast.
AshLee: Ashlee asked Graham to go on her date with her. They went to dinner. AshLee started talking about living together and Graham asked her to not put pressure on forever anymore. They got a card from Chris Harrison with two room keys. Graham wanted to use both rooms, but Ashlee wanted to share a room. They ended up using both rooms.

Rose Ceremony: Graham gave his rose to Ashlee. Zack gave his rose to Clare. Marcus gave his rose to Lacy. Marquel gave his rose to Jackie. Robert gave his rose to Sarah. Chris asked Elise to come forward. He told Elise that he could not give her the rose, because he had decided to leave the show due to his knee injury. Instead, he asked Elise to leave along with him so they could continue to pursue their relationship back home, and she accepted. Chris decided to give his rose to Michelle so she could continue her journey of true love. Danielle was eliminated.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,"""Week 4""","August 25, 2014 (2014-08-25)",104,4.84[11],1.3/4[11],Unknown
"Robert: Robert gets the first date and decides to take Sarah. They go sailing and swimming in the ocean.
Cody's Date Card: Cody arrived with a date card. He asks Clare, but she decided to pass on the date because of Zack. Cody then decided to pass it to his friend Marcus, so he could have more time to get to know the people in the house. Many of the women thought that was a very nice gesture. Marcus takes Lacy.
Kalon's Date: Kalon arrived with a date card. He asked Michelle and she accepted, but then she cancelled on him. He asked a few other girls, but none of the women went with him (recalling how badly he had upset Emily Maynard and her daughter in The Bachelorette (season 8). Feeling certain that he would be eliminated later at the Rose Ceremony, he decided to go by himself and enjoy it rather than pass the card, creating the show's first ""one on none"" date.
Jesse: Jesse shows up with a date card and he invites Jackie to go out with him. She accepts and Marquel is kind of upset. They go to an ancient Mayan Cave. The date is a little awkward at first, but gets better toward the end. Andrew Ripp performs.
Before the Rose Ceremony, AshLee said disrespectful things about Clare to Zack and her remarks were caught on camera. Word got back to Clare and she confronted AshLee about it. Michelle informed Graham about the situation right before the Rose Ceremony began. Graham started to have second thoughts about AshLee.

Rose Ceremony: Lacy gives her rose to Marcus. Clare gives her rose to Zack. AshLee asked Graham to come forward. At that point Graham turned and left the room. Michelle followed after him. AshLee continued to stand in the Rose Ceremony room and did not follow Graham. After seeing a medic, Graham returned and accepted the rose from AshLee. Then Lacy became ill and departed in an ambulance, accompanied by Marcus. The rose ceremony continued. Michelle gave her rose to Cody. Sarah gave her rose to Robert. Jackie gave her rose to Jesse. Kalon and Marquel were eliminated at the Rose Ceremony.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,"""Week 5""","August 26, 2014 (2014-08-26)",105,5.07[11],1.4/5[11],Unknown
"Christy: Christy shows up with a date card and asks Zack to go with her, but he turns her down. Christy then asks Jesse to join her on the date. They go shopping in Mexico.
Lacy and Marcus return from the hospital.
Sarah: Sarah got a date card and asked Robert to join her. They go out to dinner and go swimming. They share a kiss.
Clare was still upset about the disrespectful comments from AshLee. She came to Zack to let him know that she had decided to quit.
Lucy's Date: Lucy arrived with a date card. She asked Jesse out and they went to some ruins.
Michelle's Date: Michelle asked Cody out and they had their 'engagement' photos taken on the beach, even though it was their first date.
AshLee's Date: She asked Graham out and they drove sports cars on a road course.
Christy began to feel insecure about her status with Jesse. She spoke to him and was reassured. They started to make out in private and were joined by Lucy.

Rose Ceremony: Sarah accepts Robert's rose. AshLee accepts Graham's rose. Cody gives his rose to Michelle. Lacy accepted Marcus' rose with a very long kiss. Zack gives his rose to Jackie. Jesse chose Christy over Lucy, so Lucy was eliminated.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,"""Week 6""","September 1, 2014 (2014-09-01)",106,5.01[11],1.3/4[11],Unknown
"Marcus's Date: Marcus took Lacy on a date exploring in a cave. Lacy told Marcus she was falling in love with him.
Brooks' Date: Sarah was hoping that Brooks would ask her out, and Brooks wanted to do it, but Robert informed Brooks that he and Sarah were a couple and Brooks should pick someone else. Brooks asked Jackie out.
Tasos's Date: Tasos arrived with a date card. Tasos pulled Michelle aside first and told him he should take Christy. Tasos told her how great of a guy Cody was. Tasos asked Christy on the date and Jesse wasn't happy because he doesn't want to leave Paradise. On the date, Tasos and Christy go swimming in a lazy river.
Zack's Date: Zack asked Jackie on the date, and Brooks wasn't too thrilled. AshLee was also upset it wasn't Graham who got the date card. Zack and Jackie went swimming in a cave. They kissed.
Before the Rose Ceremony, Jesse had a talk with Christy and realized that he would not be getting a rose from her. He decided to quit at that point rather than be eliminated later. Before he could depart, Christy came to the car and told him all of the reasons that she was angry with him. Jesse didn't seem concerned by this, saying later that he had fun and he knew there would be many emails and party invitations waiting for him when returned home.

Rose Ceremony: Lacy gave her rose to Marcus. AshLee gave her rose to Graham. Sarah gave her rose to Robert. Michelle gave her rose to Cody. Christy to Tasos. Jackie gave her rose to Zack. Brooks was eliminated. Then Chris Harrison announced that there would be no more newcomers; the final episode would be a test of their new relationships.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7,"""Week 7""","September 8, 2014 (2014-09-08)",107,5.40[11],1.4/4[11],Unknown
"Chris Harrison asked each of the couples to have a serious talk with each other and decide whether to continue or go home. AshLee and Graham decided to split up after some prompting by Michelle. Zack, Jackie, Tasos and Christy all decided to break up. That left three couples: Sarah and Robert, Michelle and Cody, and Lacy and Marcus.
The three couples went on romantic overnight dates in fantasy suites. Lacy and Marcus and Michelle and Cody came back convinced that they should remain as couples. However, Sarah complained that there was little intimacy on their date. She confronted Robert about this and he just apologized and left with no explanation.
The two remaining couples were joined by three couples (Jason/Molly Mesnick, Sean/Catherine Lowe and Desiree Hartsock/Chris Seigfried) who had found love on the show in the past. They agreed that the two remaining couples had a good chance of making it work.
Rose Ceremony: Michelle and Cody exchanged roses and left as a couple. Marcus proposed to Lacy and she accepted.

In the epilogue, it was revealed that Chris and Elise broke up after less than two weeks. Michelle and Cody were still in a relationship at the time. Clare was still in Sacramento searching for her soulmate.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tanner Tolbert,28,Auto Finance Manager,"Kansas City, Missouri",The Bachelorette – Kaitlyn,Week 1,Engaged
Jade Roper,28,Cosmetics Developer,"Los Angeles, California",The Bachelor – Chris,Week 1,Unknown
Nick Peterson,30,Personal Trainer,"Tampa, Florida",The Bachelorette – AshleyBachelor Pad – Season 3,Week 4,Relationship
Samantha Steffen,28,Fashion Designer,"Beverly Hills, California",The Bachelor – Chris,Week 3,Unknown
Justin Reich,28,Personal Trainer,"Naperville, Illinois",The Bachelorette – Kaitlyn,Week 4,Relationship
Cassandra Ferguson,23,Make-up Artist,"Detroit, Michigan",The Bachelor – Juan Pablo,Week 5,Unknown
Joshua Albers,31,Industrial Welder,"Kuna, Idaho",The Bachelorette – Kaitlyn,Week 2,Split Week 6
Tenley Molzahn,31,Nutrition Therapist,"Encinitas, California",The Bachelor – JakeBachelor Pad – Season 1,Week 1,Unknown
Kirk DeWindt,32,Personal Trainer,"Minneapolis, Minnesota",The Bachelorette – AliBachelor Pad – Season 2,Week 1,Split Week 6
Carly Waddell,29,Singer/Songwriter,"Nashville, Tennessee",The Bachelor – Chris,Week 1,Unknown
Amber James,30,Bartender,"Chicago, Illinois",The Bachelor – Chris,Week 3,Week 5
Ashley Salter,25,Hairstylist,"Alpharetta, Georgia",The Bachelor – Chris,Week 1,Week 5
Chelsie Webster,25,Science Educator,"Galloway, Ohio",The Bachelor – Juan Pablo,Week 5,Week 5
Jaclyn Swartz,30,Account Manager,"Chicago, Illinois",The Bachelor – Ben F.Bachelor Pad – Season 3,Week 5,Week 5
Mikey Tenerelli,32,Personal Trainer,"Winfield, Illinois",The Bachelorette – Desiree,"Week 1
Week 4","Week 2 (Returned)
Week 5 (Quit)"
Mackenzie Deonigi,22,Dental Assistant,"Seattle, Washington",The Bachelor – Chris,Week 5,Week 5 (Quit)
Dan Cox,32,Small Business Owner,"Las Vegas, Nevada",The Bachelorette – Desiree,Week 1,Week 5 (Quit)
Jared Haibon,26,Restaurant Manager,"Providence, Rhode Island",The Bachelorette – Kaitlyn,Week 1,Split Week 5
Ashley Iaconetti,27,Freelance Journalist,"Wayne, New Jersey",The Bachelor – Chris,Week 1,Unknown
Juelia Kinney,30,Esthetician/Full-time Mom,"San Diego, California",The Bachelor – Chris,"Week 1
Week 4","Week 3 (Returned)
Week 5 (Quit)"
Joe Bailey,29,Insurance Agent,"Columbia, Kentucky",The Bachelorette – Kaitlyn,Week 2,Week 4
Chris Bukowski,28,Entrepreneur,"Chicago, Illinois",The Bachelorette – EmilyBachelor Pad – Season 3Bachelor in Paradise – Season 1,Week 4,Week 4 (Quit)
Clare Crawley,34,Hairstylist,"Sacramento, California",The Bachelor – Juan PabloBachelor in Paradise – Season 1,Week 1,Week 3
Megan Bell,24,Make-up Artist,"New York City, New York",The Bachelor – Chris,Week 3,Week 3
JJ Lane III,32,Former Investment Banker,"Denver, Colorado",The Bachelorette – Kaitlyn,Week 1,Week 3 (Quit)
Jonathan Holloway,33,Automotive Spokesman,"Detroit, Michigan",The Bachelorette – Kaitlyn,Week 1,Week 2
Michael Garofola,35,Federal Prosecutor,"Houston, Texas",The Bachelorette – Desiree,Week 2,Week 2
Lauren Iaconetti[7],24,Mistress,"Wayne, New Jersey",None,Week 1,Week 2 (Quit)
Jillian Anderson,26,News Producer,"Washington, D.C.",The Bachelor – Chris,Week 1,Week 1
Tanner,Date,In,In,Date,In,In
Jade,Date,In,In,Date,In,In
Nick,Wait,Date,Date,In,Relationship,Unknown
Samantha,Wait,Date,In,Date,In,Relationship
Justin,Wait,Date,Date,In,Relationship,Unknown
Cassandra,Wait,Last,In,Relationship,Unknown,Unknown
Tenley,Last,Date,In,Date,In,In
Joshua,Wait,Date,In,Date,In,In
Carly,In,In,Date,In,In,Split
Kirk,In,In,Date,In,In,Split
Ashley S.,Date,In,In,Date,Out,
Amber,Wait,Last,Date,Out,,Unknown
Jaclyn,Wait,Out,,Unknown,Unknown,Unknown
Chelsie,Wait,Out,,Unknown,Unknown,Unknown
Mikey,Date,Out,Back,Date,Quit,
Mackenzie,Wait,Quit,,Unknown,Unknown,Unknown
Dan,Date,In,Date,Last,Quit,
Jared,Date,Date,In,In,Split,
Ashley I.,Date,In,In,In,Split,
Juelia,In,Date,Save,Date,Quit,
Joe,Wait,Last,Date,Out,,Unknown
Chris,Wait,Quit,,Unknown,Unknown,Unknown
Clare,Date,Date,Out,,Unknown,Unknown
Megan,Wait,Out,,Unknown,Unknown,Unknown
JJ,In,In,Quit,,Unknown,Unknown
Jonathan,In,Out,,Unknown,Unknown,Unknown
Michael,Wait,Out,,Unknown,Unknown,Unknown
Lauren,In,Quit,,Unknown,Unknown,Unknown
Jillian,Out,,Unknown,Unknown,Unknown,Unknown
1,"""Week 1: Part 1 (Season Premiere)""","August 2, 2015 (2015-08-02)",201A,3.60[9],1.1/4[9],Unknown
2,"""Week 1: Part 2""","August 3, 2015 (2015-08-03)",201B,4.66[9],1.3/5[9],Unknown
3,"""Week 2: Part 1""","August 9, 2015 (2015-08-09)",202A,3.76[9],1.2/4[9],Unknown
4,"""Week 2: Part 2""","August 10, 2015 (2015-08-10)",202B,5.09[9],1.5/6[9],Unknown
5,"""Week 3: Part 1""","August 16, 2015 (2015-08-16)",203A,3.98[9],1.3/5[9],Unknown
6,"""Week 3: Part 2""","August 17, 2015 (2015-08-17)",203B,5.24[9],1.5/6[9],Unknown
7,"""Week 4: Part 1""","August 23, 2015 (2015-08-23)",204A,4.21[9],1.3/4[9],Unknown
8,"""Week 4: Part 2""","August 24, 2015 (2015-08-24)",204B,5.58[9],1.8/6[9],Unknown
9,"""Week 5: Part 1""","August 30, 2015 (2015-08-30)",205A,4.40[9],1.3/4[9],Unknown
10,"""Week 5: Part 2""","August 31, 2015 (2015-08-31)",205B,5.24[9],1.5/6[9],Unknown
11,"""Week 6: Part 1""","September 6, 2015 (2015-09-06)",206A,3.88[9],1.1/4[9],Unknown
12,"""Week 6: Part 2 (Season Finale)""","September 7, 2015 (2015-09-07)",206B,4.82[9],1.5/4[9],Unknown
Evan Bass,33,Erectile Dysfunction Specialist,"Nashville, Tennessee",The Bachelorette – JoJo,Week 1,Engaged
Carly Waddell,30,Singer-Songwriter,"Nashville, Tennessee",The Bachelor – ChrisBachelor in Paradise – Season 2,Week 1,Unknown
Grant Kemp,28,Firefighter,"San Francisco, California",The Bachelorette – JoJo,Week 1,Engaged
Lace Morris,26,Real Estate Agent,"Denver, Colorado",The Bachelor – Ben H.,Week 1,Unknown
Josh Murray,31,Financial Advisor,"Tampa, Florida",The Bachelorette – Andi,Week 2,Engaged
Amanda Stanton,26,Esthetician,"Laguna Beach, California",The Bachelor – Ben H.,Week 1,Unknown
Nick Viall,35,Software Sales Executive,"Waukesha, Wisconsin",The Bachelorette – Andi The Bachelorette – Kaitlyn,Week 1,Split Week 6
Jennifer Saviano,26,Business Owner,"Fort Lauderdale, Florida",The Bachelor – Ben H.,Week 3,Unknown
Wells Adams,31,Radio DJ,"Chattanooga, Tennessee",The Bachelorette – JoJo,Week 4,Split Week 6
Ashley Iaconetti,28,Freelance Journalist,"Wayne, New Jersey",The Bachelor – ChrisBachelor in Paradise – Season 2,"Week 3
Week 4","Week 3
Split Week 6"
Jami Letain,24,Bartender,"Calgary, Alberta, Canada",The Bachelor – Ben H.,Week 5,Week 5
Lauren Himle,26,Real Estate Agent,"Ann Arbor, Michigan",The Bachelor – Ben H.,Week 5,Week 5
Tiara Soleim,27,Chicken Enthusiast,"Seattle, Washington",The Bachelor – Ben H.,Week 5,Week 5
Brett Melnick,32,Hairstylist,"Blue Bell, Pennsylvania",The Bachelorette – Andi,Week 4,Week 5 (Quit)
Shushanna Mkrtychyan,28,Mathematician,"Salt Lake City, Utah",The Bachelor – Ben H.,Week 5,Week 5 (Quit)
Izzy Goodkind,25,Graphic Designer,"New York City, New York",The Bachelor – Ben H.,Week 1,Week 5 (Quit)
Jared Haibon,27,Restaurant Manager,"Providence, Rhode Island",The Bachelorette – KaitlynBachelor in Paradise – Season 2,Week 1,Week 5 (Quit)
Caila Quinn,24,Marketing Manager,"Wellesley, Massachusetts",The Bachelor – Ben H.,Week 3,Week 5 (Quit)
Carl King,32,Firefighter,"Miami, Florida",The Bachelorette – Andi,Week 4,Week 4
Daniel Maguire,31,Personal Trainer,"Vancouver, British Columbia",The Bachelorette – JoJo,Week 1,Week 4
Ryan Beckett,33,Realtor,"Wellington, Florida",The Bachelorette – Kaitlyn,Week 4,Week 4
Emily Ferguson,23,Waitress,"Las Vegas, Nevada",The Bachelor – Ben H.,Week 1,Week 4 (Quit)
Haley Ferguson,23,Waitress,"Las Vegas, Nevada",The Bachelor – Ben H.,Week 1,Week 4 (Quit)
Vinny Ventiera,28,Barber,"Delray Beach, Florida",The Bachelorette – JoJo,Week 1,Week 4 (Quit)
Sarah Herron,29,Art Director,"Marina del Rey, California",The Bachelor – SeanBachelor in Paradise – Season 1,Week 1,Week 3
Brandon Andreen,29,Painting Contractor,"Costa Mesa, California",The Bachelorette – Desiree,Week 2,Week 2
Christian Bishop,27,Personal Trainer,"Los Angeles, California",The Bachelorette – JoJo,Week 2,Week 2
Leah Block,25,Event Planner,"Aurora, Colorado",The Bachelor – Ben H.,Week 1,Week 1
Jubilee Sharpe,24,"Model, War veteran","Miami, Florida",The Bachelor – Ben H.,Week 1,Week 1
Chad Johnson,28,Real Estate Agent,"Tulsa, Oklahoma",The Bachelorette – JoJo,Week 1,Week 1 (Kicked Off)
Evan,In,Date,In,Date,In,In
Carly,In,Date,In,Date,In,In
Grant,In,In,Date,In,In,In
Lace,In,In,Date,In,In,In
Josh,Wait,Date,In,Last,Date,In
Amanda,Date,Date,In,In,Date,In
Nick,Date,Last,Date,In,In,In
